iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_accuracy,test_accuracy
81,0.46488234400749207,0.07124316692352295,0.22233422100543976,0.15909989178180695,0.4601428508758545,0.06493021547794342,0.21929824352264404,0.18003329634666443,0.737379789352417,0.7508013844490051
82,0.46052560210227966,0.06914938986301422,0.21442973613739014,0.16110889613628387,0.45586317777633667,0.06922886520624161,0.21052631735801697,0.179912731051445,0.7502349615097046,0.7589477300643921
83,0.45625054836273193,0.06968244910240173,0.20649322867393494,0.16028062999248505,0.45166638493537903,0.088245689868927,0.21186299622058868,0.18178769946098328,0.7585519552230835,0.7628164291381836
84,0.4520580768585205,0.0898229330778122,0.2076132893562317,0.16801850497722626,0.4475529193878174,0.08384832739830017,0.2060381919145584,0.17496471107006073,0.7623828649520874,0.7650602459907532
85,0.44794875383377075,0.0847378522157669,0.20232726633548737,0.16143903136253357,0.443523108959198,0.0843549370765686,0.20045626163482666,0.18256205320358276,0.7645475268363953,0.7729523777961731
86,0.44392281770706177,0.08297380805015564,0.19824354350566864,0.16859571635723114,0.4395768344402313,0.08903750032186508,0.19675686955451965,0.18943671882152557,0.7725464701652527,0.7833646535873413
87,0.4399802088737488,0.08807951956987381,0.19412443041801453,0.1757040172815323,0.43571382761001587,0.090749591588974,0.17221112549304962,0.19498781859874725,0.7833461761474609,0.7940201163291931
88,0.4361206591129303,0.09134852886199951,0.1796605885028839,0.17101632058620453,0.4319334924221039,0.07869015634059906,0.1622207760810852,0.1755097657442093,0.7938705086708069,0.801845908164978
89,0.43234360218048096,0.08068692684173584,0.17080454528331757,0.15415140986442566,0.42823511362075806,0.08258644491434097,0.15323203802108765,0.19032210111618042,0.8015608787536621,0.8104454278945923
90,0.4286481738090515,0.08124678581953049,0.16245755553245544,0.16470983624458313,0.4246176779270172,0.0827859416604042,0.13571429252624512,0.19601210951805115,0.8102717995643616,0.8204598426818848
91,0.4250336289405823,0.0812324807047844,0.14671339094638824,0.1668337881565094,0.42108020186424255,0.09089415520429611,0.1265679895877838,0.20664726197719574,0.8200556635856628,0.8287830352783203
92,0.42149871587753296,0.09229356795549393,0.13049612939357758,0.17307952046394348,0.41762134432792664,0.08148922026157379,0.1087719276547432,0.19586604833602905,0.828325092792511,0.8384547233581543
93,0.4180423319339752,0.07933925837278366,0.11442332714796066,0.17105579376220703,0.41423988342285156,0.08964495360851288,0.09934452176094055,0.1804303079843521,0.8380804657936096,0.8508455753326416
94,0.41466307640075684,0.09160690754652023,0.0974060595035553,0.1651938259601593,0.41093429923057556,0.1017489954829216,0.0890142023563385,0.1914415806531906,0.8502615690231323,0.8600751757621765
95,0.4113595485687256,0.10596250742673874,0.08856566995382309,0.1764925718307495,0.4077032506465912,0.06666667014360428,0.07894736528396606,0.18621037900447845,0.8594472408294678,0.8644854426383972
96,0.4081302583217621,0.09291122853755951,0.07950908690690994,0.1552267074584961,0.4045451581478119,0.07692307978868484,0.07894736528396606,0.18621037900447845,0.864146888256073,0.87075275182724
97,0.4049738049507141,0.11555348336696625,0.07949308305978775,0.15493144094944,0.40145835280418396,0.08395463973283768,0.0780240073800087,0.18767453730106354,0.8700523376464844,0.8758593797683716
98,0.40188851952552795,0.13889983296394348,0.07106929272413254,0.16941288113594055,0.3984413743019104,0.08423685282468796,0.061403509229421616,0.21974579989910126,0.8753453493118286,0.8848347663879395
99,0.39887282252311707,0.08577021956443787,0.0634920671582222,0.19520218670368195,0.39549264311790466,0.10511534661054611,0.061403509229421616,0.2242473065853119,0.8845974802970886,0.8897092938423157
100,0.3959251940250397,0.10658678412437439,0.05544136092066765,0.22649797797203064,0.39261046051979065,0.10321100056171417,0.05263157933950424,0.2258145660161972,0.8893493413925171,0.897104024887085
101,0.3930439054965973,0.10392041504383087,0.0476190485060215,0.22650659084320068,0.3897932469844818,0.11795543879270554,0.05263157933950424,0.2258145660161972,0.8966361880302429,0.8996020555496216
102,0.39022743701934814,0.118766188621521,0.0476190485060215,0.22650659084320068,0.3870393931865692,0.13720880448818207,0.050607286393642426,0.22469593584537506,0.8991806507110596,0.9006521701812744
103,0.3874741792678833,0.13803158700466156,0.04594356194138527,0.22522825002670288,0.3843473792076111,0.15082569420337677,0.04385964944958687,0.24426515400409698,0.9000778794288635,0.9047861099243164
104,0.3847825527191162,0.1267402172088623,0.0396825410425663,0.24531784653663635,0.3817155361175537,0.15082569420337677,0.04385964944958687,0.24426515400409698,0.9043740034103394,0.9047861099243164
105,0.3821510076522827,0.1520882546901703,0.0396825410425663,0.24531784653663635,0.3791424334049225,0.1515708714723587,0.043546367436647415,0.24556832015514374,0.9043787717819214,0.9053719639778137
106,0.37957799434661865,0.15274250507354736,0.0394265241920948,0.24647089838981628,0.3766264319419861,0.14055046439170837,0.035087719559669495,0.2808986306190491,0.9049199223518372,0.9100696444511414
107,0.37706199288368225,0.14696796238422394,0.03187403827905655,0.23049476742744446,0.37416619062423706,0.17568805813789368,0.035087719559669495,0.2808986306190491,0.9096195697784424,0.9101912379264832
108,0.3746015131473541,0.17789597809314728,0.0317460335791111,0.28335654735565186,0.37176015973091125,0.17568805813789368,0.035087719559669495,0.2808986306190491,0.909814178943634,0.9101912379264832
109,0.37219515442848206,0.17789597809314728,0.0317460335791111,0.28335654735565186,0.36940690875053406,0.17568805813789368,0.035087719559669495,0.2808986306190491,0.909814178943634,0.9101912379264832
110,0.36984148621559143,0.17789597809314728,0.0317460335791111,0.28335654735565186,0.3671051263809204,0.18491271138191223,0.035087719559669495,0.2955787479877472,0.909814178943634,0.9117829203605652
111,0.36753901839256287,0.187050923705101,0.0317460335791111,0.2979784607887268,0.3648533225059509,0.19999998807907104,0.02631578966975212,0.312412828207016,0.9114187359809875,0.9149773120880127
112,0.3652864992618561,0.15267927944660187,0.02380952425301075,0.3167254626750946,0.36265021562576294,0.19999998807907104,0.02631578966975212,0.312412828207016,0.9146183133125305,0.9149773120880127
113,0.36308252811431885,0.2035723775625229,0.02380952425301075,0.3167254626750946,0.3604945242404938,0.19999998807907104,0.02631578966975212,0.312412828207016,0.9146230220794678,0.9149773120880127
114,0.36092594265937805,0.2035723775625229,0.02380952425301075,0.3167254626750946,0.35838499665260315,0.19999998807907104,0.02631578966975212,0.312412828207016,0.9146230220794678,0.9149773120880127
115,0.35881537199020386,0.2035723775625229,0.02380952425301075,0.3167254626750946,0.35632041096687317,0.2015090435743332,0.02631578966975212,0.3143616020679474,0.9146230220794678,0.915087878704071
116,0.35674959421157837,0.20494697988033295,0.02380952425301075,0.3184930384159088,0.35429951548576355,0.11926605552434921,0.017543859779834747,0.2736413776874542,0.914722740650177,0.9180391430854797
117,0.3547274172306061,0.12188074737787247,0.01587301678955555,0.2782527208328247,0.35232117772102356,0.17889907956123352,0.017543859779834747,0.2736413776874542,0.9175852537155151,0.9180833697319031
118,0.35274770855903625,0.182821124792099,0.01587301678955555,0.2782527208328247,0.3503842353820801,0.17889907956123352,0.017543859779834747,0.2736413776874542,0.9176943898200989,0.9180833697319031
119,0.35080933570861816,0.182821124792099,0.01587301678955555,0.2782527208328247,0.34848758578300476,0.19624432921409607,0.017495661973953247,0.29224249720573425,0.9176943898200989,0.9186581373214722
120,0.34891122579574585,0.20271168649196625,0.01579969935119152,0.29902252554893494,0.34663018584251404,0.023853210732340813,0.008771929889917374,0.04659498110413551,0.9183352589607239,0.9200839996337891
121,0.3470522165298462,0.024428684264421463,0.007936508394777775,0.04769230633974075,0.34481096267700195,0.023853210732340813,0.008771929889917374,0.04659498110413551,0.9196075201034546,0.9200839996337891
122,0.3452313542366028,0.024428684264421463,0.007936508394777775,0.04769230633974075,0.3430289030075073,0.023853210732340813,0.008771929889917374,0.04659498110413551,0.9196075201034546,0.9200839996337891
123,0.34344762563705444,0.024428684264421463,0.007936508394777775,0.04769230633974075,0.34128299355506897,0.023853210732340813,0.008771929889917374,0.04659498110413551,0.9196075201034546,0.9200839996337891
124,0.3416999876499176,0.024428684264421463,0.007936508394777775,0.04769230633974075,0.33957231044769287,0.023853210732340813,0.008771929889917374,0.04659498110413551,0.9196075201034546,0.9200839996337891
125,0.33998748660087585,0.024428684264421463,0.007936508394777775,0.04769230633974075,0.33789584040641785,0.023853210732340813,0.008771929889917374,0.04659498110413551,0.9196075201034546,0.9200839996337891
126,0.33830922842025757,0.024428684264421463,0.007936508394777775,0.04769230633974075,0.33625274896621704,0.15478375554084778,0.008852777071297169,0.032226063311100006,0.9196075201034546,0.920050859451294
127,0.3366642892360687,0.19642487168312073,0.008045014925301075,0.037028826773166656,0.3346421420574188,0.21319779753684998,0.012612175196409225,0.23301051557064056,0.919583797454834,0.919575572013855
128,0.3350518047809601,0.2351745069026947,0.011579240672290325,0.2500251829624176,0.33306312561035156,0.21192660927772522,0.017422588542103767,0.3078719675540924,0.9193369150161743,0.918901264667511
129,0.3334708511829376,0.21696092188358307,0.0158265121281147,0.31387460231781006,0.3315148651599884,0.2110091745853424,0.017543859779834747,0.30807438492774963,0.9185394048690796,0.9188570976257324
130,0.33192068338394165,0.21394799649715424,0.01587301678955555,0.3113251030445099,0.3299965560436249,0.2110091745853424,0.017543859779834747,0.30807438492774963,0.9184444546699524,0.9188570976257324
